RegionId,RegionName
3,Interior
4,Vancouver DT
5,Jason House
6,TRSM House
7,Sea to Sky
8,Victoria
9,Greater Vancouver
10,North Island
11,West Coast
12,Crossfit North Van
13,Rebel Fitness Squam
14,D2C
15,Int Kelowna
16,Int Vernon
17,Int Kamloops
18,Int Penticton
19,Int Castlegar
20,Sunshine Coast
21,S2S Squamish
22,S2S Whistler
23,S2S Pemberton
24,INT Cranbrook
25,INT Smithers
26,INT Williams Lake
27,Vancouver NS
28,Vancouver W
29,Vancouver E
30,New West
31,Richmond
32,Delta
33,Burnaby
34,Maple Ridge
35,White Rock
36,Int Nelson
37,Surrey
38,Langley
39,Campbell River
40,Nanaimo
41,INT Prince Rupert
42,Haida Gwaii
43,Salt Spring
44,Prince George
45,Abbotsford
46,Coquitlam
47,Duncan
48,Port Moody
49,Fort Langley
50,Port Coquitlam
51,Alberta
52,Int Terrace
53,INT Burns Lake
